date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-05-21,27102.42,27277.55,26666.03,26747.78,21347.87279,1684713599999,575213570.27944220,568937,9855.43959000,265526847.33206750,0,571008204.8549062,-0.013171912518513906,0.09402426709106619
2023-05-22,26747.78,27099.89,26538.21,26849.27,26458.83828,1684799999999,709594996.72427440,717111,12639.67925000,338982776.45968190,0,710400492.8660556,0.0037871532594397905,0.09168457053402089
2023-05-23,26849.28,27495.83,26798.11,27219.61,38700.83858,1684886399999,1054565781.60237520,816399,18966.20117000,516737777.26524950,0,1053421732.8205539,0.013699036917122598,0.0925640294887768
2023-05-24,27219.61,27219.61,26080.5,26329.01,54393.0657,1684972799999,1442636235.45435520,1012767,26698.91191000,707870181.81634380,0,1432115570.745957,-0.03326629631528988,0.09820429312436699
2023-05-25,26329.0,26631.98,25871.89,26473.79,37435.44895,1685059199999,984117789.70176120,753125,17773.08882000,467287939.93959180,0,991058214.0580205,0.005483813844003649,0.0935907968246336
2023-05-26,26473.8,26932.16,26327.24,26705.92,35061.18713,1685145599999,932817724.59401000,655755,16507.37461000,439209106.74467190,0,936341258.5988095,0.008730076726596536,0.09403218447317521
2023-05-27,26705.93,26895.0,26551.0,26854.27,15095.6867,1685231999999,403337263.03449080,415694,7152.30076000,191116596.77267230,0,405383646.47720903,0.005539576292267867,0.08559702752243789
2023-05-28,26854.28,28261.32,26764.36,28065.0,43916.00855,1685318399999,1205762341.97049520,843861,23346.55866000,640869473.60044430,0,1232502779.95575,0.04409840842612667,0.09767743819757498
2023-05-29,28065.01,28447.14,27524.6,27736.4,42385.41945,1685404799999,1182678581.63466910,805579,20199.85331000,563722083.65919410,0,1175618948.0329802,-0.011777618425210079,0.09821725747537895
2023-05-30,27736.39,28038.59,27554.0,27694.4,32686.75371,1685491199999,908653906.00727420,745633,15196.52438000,422438614.85257250,0,905240031.9462241,-0.001515403278954608,0.09819919501509809
2023-05-31,27694.39,27835.51,26839.01,27210.35,46588.80573,1685577599999,1265952178.77986840,908537,21962.66824000,596493723.43926400,0,1267697709.9953055,-0.0176328110595243,0.09122266985050859
2023-06-01,27210.36,27350.0,26605.05,26817.93,39217.8088,1685663999999,1055132509.86583420,814389,18620.69161000,500960557.92278290,0,1051740451.151784,-0.014526721963617817,0.08918577445592481
2023-06-02,26817.93,27300.0,26505.0,27242.59,36380.90269,1685750399999,983857061.64084190,811087,18134.67738000,490485191.78806760,0,991110015.8135672,0.015710863858149793,0.08981491173785021
2023-06-03,27242.59,27333.29,26914.93,27069.22,16595.34117,1685836799999,450588672.47040810,466520,7745.78680000,210327639.56108250,0,449222941.1057874,-0.00638426849937801,0.08980924145575395
2023-06-04,27069.22,27455.02,26951.0,27115.21,19258.41049,1685923199999,523747237.43896960,504474,9511.72432000,258699846.47588030,0,522195844.70255286,0.0016975360281126228,0.08613442319703837
2023-06-05,27115.2,27129.33,25388.0,25728.2,65805.60305,1686009599999,1722665798.09203020,1420829,30583.35138000,799867474.21258980,0,1693059716.3910103,-0.05250715845555831,0.09767468579821688
2023-06-06,25728.2,27355.33,25351.02,27230.08,68392.60438,1686095999999,1797636024.08121260,1345725,35083.78790000,922716234.21001140,0,1862336088.6757507,0.05673457801927029,0.11418096642547872
2023-06-07,27230.07,27391.77,26125.01,26339.34,59619.44364,1686182399999,1589291467.53723290,1311928,28095.50924000,749083400.12038920,0,1570336796.6447976,-0.03325860556385685,0.11575804195211903
2023-06-08,26339.34,26810.0,26210.0,26498.61,31075.51083,1686268799999,823023638.23687500,848252,14614.60741000,387105933.43997990,0,823457842.0349463,0.006028639732694074,0.11601212632004354
2023-06-09,26498.62,26783.33,26269.91,26477.81,27934.7097,1686355199999,741158215.05390230,746911,12757.07361000,338454644.89561430,0,739649935.841757,-0.0007852550651321621,0.11601328959221727
2023-06-10,26477.8,26533.87,25358.0,25841.21,64944.60108,1686441599999,1673795235.40089230,1713871,31558.13098000,813190388.24856080,0,1678247074.8745067,-0.02433651927770164,0.11625975175498586
2023-06-11,25841.22,26206.88,25634.7,25925.55,30014.29595,1686527999999,776111471.86699710,833902,14266.10759000,368954010.80744420,0,778137130.3665224,0.003258464490494717,0.11623048908068079
2023-06-12,25925.54,26106.48,25602.11,25905.19,29900.50893,1686614399999,773303698.86332210,858037,14219.97114000,367770742.66004000,0,774578364.9283466,-0.0007856342026855145,0.11623034103046677
2023-06-13,25905.2,26433.21,25712.57,25934.25,41065.60853,1686700799999,1068985236.51265540,1007138,20120.32689000,523776704.24149100,0,1065005758.0191524,0.0011211542039806233,0.11606715146012055
2023-06-14,25934.24,26098.0,24820.56,25128.6,45077.31608,1686787199999,1152808416.91979290,957418,20726.13761000,530122336.37885320,0,1132729844.8478878,-0.031557849238028624,0.11939922958340023
2023-06-15,25128.6,25759.01,24800.0,25598.49,48664.86063,1686873599999,1224436974.85028730,943268,24035.81623000,604884325.24625680,0,1245746948.188449,0.0185267256736541,0.12121980177530527
2023-06-16,25598.49,26518.0,25175.56,26345.0,51596.91662,1686959999999,1335158158.63961400,926194,24055.65943000,622525707.60499810,0,1359320768.3539002,0.028745138290378947,0.12411667316954528
2023-06-17,26345.01,26839.99,26181.0,26516.99,27842.2195,1687046399999,738491809.88116250,666967,13843.65158000,367248705.00540730,0,738291856.0593051,0.006507155969032397,0.12254578298390588
2023-06-18,26516.99,26700.0,26255.85,26339.97,21538.31022,1687132799999,571013013.85533620,555956,10367.07533000,274864183.44428690,0,567318445.0454934,-0.006698102267959527,0.12267502558564729
2023-06-19,26339.98,27068.09,26256.61,26844.35,35872.65974,1687219199999,954193987.29481130,732735,17593.19977000,468128198.05453100,0,962978233.491469,0.01896781314400897,0.12394481292639163
2023-06-20,26844.35,28402.74,26652.0,28307.99,69666.95525,1687305599999,1912797983.53100540,1189024,35052.57462000,962782935.68992990,0,1972131472.5474477,0.053088726450114976,0.1341296445566669
2023-06-21,28308.0,30800.0,28257.99,29993.89,108926.40412,1687391999999,3210301129.36629090,1872873,55846.96952000,1646165465.24493830,0,3267126583.270827,0.057849597296170785,0.14534696365209387
2023-06-22,29993.89,30500.0,29525.61,29884.92,59054.5646,1687478399999,1775822103.76325550,1146092,27902.93312000,839284260.17982540,0,1764840938.7058318,-0.003639688908208427,0.1451460666216071
2023-06-23,29884.92,31431.94,29800.0,30688.5,73931.89635,1687564799999,2265077496.19546880,1338533,36289.31740000,1112439184.95065560,0,2268859001.136975,0.026533986237444296,0.14192366784094612
2023-06-24,30688.51,30800.0,30250.0,30527.43,30513.30135,1687651199999,933244397.70400210,776343,14497.56447000,443500647.92208220,0,931492671.0310305,-0.0052623678739376345,0.14230050926527485
2023-06-25,30527.44,31046.01,30277.49,30462.66,30223.44801,1687737599999,926316644.41676650,789910,14627.97473000,448414594.55878750,0,920686620.7563066,-0.002123952410926222,0.142400293950491
2023-06-26,30462.67,30666.0,29930.0,30267.99,45180.41489,1687823999999,1367837657.54518250,954783,22277.58284000,674540668.57266040,0,1367520346.0863712,-0.006410952846691131,0.1428011429500918
2023-06-27,30267.99,30994.97,30226.17,30692.44,42699.64157,1687910399999,1306206257.01935710,824373,21151.29517000,647203906.76564110,0,1310556186.9087307,0.013925651745680057,0.13710823242412337
2023-06-28,30692.44,30709.74,29858.8,30077.41,40463.51937,1687996799999,1224103637.61325620,895470,19176.75428000,580226725.83338870,0,1217037862.1344318,-0.020241978544882855,0.13830693940937885
2023-06-29,30077.4,30843.98,30049.98,30447.31,36330.62903,1688083199999,1107940389.92424060,758428,17834.38857000,543872730.26172690,0,1106169924.5714092,0.012223257058952441,0.1385558045299431
2023-06-30,30447.31,31282.0,29500.0,30472.0,89419.07618,1688169599999,2726355505.50635030,1559366,44319.81254000,1351735332.85857690,0,2724778089.3569603,0.0008105804662541516,0.1369104948644481
2023-07-01,30471.99,30661.6,30320.57,30585.9,17501.75075,1688255999999,533859338.13253830,567975,8102.13876000,247175148.95076600,0,535306798.264425,0.0037308892745926414,0.13559696652827785
2023-07-02,30585.9,30791.0,30155.0,30617.03,23286.41019,1688342399999,711031423.43344250,591533,10630.24740000,324616031.95816840,0,712960719.3795357,0.0010172716464573739,0.13512232973078242
2023-07-03,30617.02,31380.0,30570.27,31156.2,43761.64311,1688428799999,1352635339.50439350,781855,20885.94331000,645698735.37734940,0,1363446505.063782,0.01745687224902781,0.13534964816166556
2023-07-04,31156.2,31350.69,30620.0,30766.51,33206.11943,1688515199999,1028794008.52452120,779472,14107.36566000,437126154.08412250,0,1021636405.5042893,-0.012586501609655798,0.13642549264667356
2023-07-05,30766.52,30878.07,30200.0,30504.81,33215.67122,1688601599999,1013694790.31705010,827926,15619.11716000,476478254.94341330,0,1013237739.5885681,-0.008542384639438794,0.12403884880419908
2023-07-06,30504.8,31500.0,29850.45,29895.43,71319.6261,1688687999999,2181763648.99526960,1397042,33952.63237000,1039137135.29355100,0,2132130889.6987228,-0.020178750191661265,0.11478841798794075
2023-07-07,29895.42,30449.0,29701.02,30344.7,34070.53895,1688774399999,1027461795.23320910,912948,14875.86309000,448638761.38389170,0,1033860283.2760651,0.014916247025860585,0.10895863751454671
